OBJECTID	id	name	emailaddress	phone	homepage	profile	watches	income	interest	education	business	age	watch	category	open_auction	address	street	city	country	province	zipcode	gender	creditcard	
13693	person0,	Cullen Takano,	mailto:Takano@rutgers.edu,	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
13704	person1,	Collette Mizunuma,	mailto:Mizunuma@ust.hk,	null	null	null	null	null	null	null	null	null	null	null	null	street:13717,city:13720,country:13723,zipcode:13726,	82 Dal St,	Key,	UnitedStates,	null	35,	null	4570 7927 3189 5138,	
13732	person2,	Gady Takano,	mailto:Takano@unbc.ca,	+0 (88) 42176365,	null	income:13748,interest:13751,interest:13756,interest:13761,education:13766,business:13769,age:13772,	watch:13777,	26537.53,	category:13753,category:13758,category:13763,	Graduate School,	Yes,	43,	open_auction:13779,	category2,category0,category1,	open_auction38,	null	null	null	null	null	null	null	null	
13782	person3,	Hai Kuszyk,	mailto:Kuszyk@monmouth.edu,	+0 (559) 42197199,	http://www.monmouth.edu/~Kuszyk,	null	watch:13801,watch:13806,watch:13811,watch:13816,	null	null	null	null	null	open_auction:13803,open_auction:13808,open_auction:13813,open_auction:13818,	null	open_auction12,open_auction65,open_auction1,open_auction7,	null	null	null	null	null	null	null	null	
13821	person4,	Hiroshige Pramanik,	mailto:Pramanik@uni-marburg.de,	+0 (409) 97336223,	http://www.uni-marburg.de/~Pramanik,	income:13840,interest:13843,interest:13848,interest:13853,interest:13858,interest:13863,education:13868,business:13871,age:13874,	watch:13879,watch:13884,watch:13889,watch:13894,watch:13899,watch:13904,watch:13909,watch:13914,watch:13919,watch:13924,watch:13929,watch:13934,watch:13939,watch:13944,watch:13949,watch:13954,watch:13959,watch:13964,watch:13969,watch:13974,watch:13979,watch:13984,watch:13989,watch:13994,watch:13999,watch:14004,watch:14009,watch:14014,watch:14019,watch:14024,watch:14029,watch:14034,watch:14039,watch:14044,watch:14049,	87107.45,	category:13845,category:13850,category:13855,category:13860,category:13865,	High School,	No,	18,	open_auction:13881,open_auction:13886,open_auction:13891,open_auction:13896,open_auction:13901,open_auction:13906,open_auction:13911,open_auction:13916,open_auction:13921,open_auction:13926,open_auction:13931,open_auction:13936,open_auction:13941,open_auction:13946,open_auction:13951,open_auction:13956,open_auction:13961,open_auction:13966,open_auction:13971,open_auction:13976,open_auction:13981,open_auction:13986,open_auction:13991,open_auction:13996,open_auction:14001,open_auction:14006,open_auction:14011,open_auction:14016,open_auction:14021,open_auction:14026,open_auction:14031,open_auction:14036,open_auction:14041,open_auction:14046,open_auction:14051,	category1,category2,category2,category3,category2,	open_auction14,open_auction19,open_auction29,open_auction63,open_auction19,open_auction65,open_auction3,open_auction22,open_auction22,open_auction51,open_auction18,open_auction68,open_auction4,open_auction21,open_auction4,open_auction39,open_auction26,open_auction62,open_auction20,open_auction61,open_auction16,open_auction7,open_auction11,open_auction10,open_auction50,open_auction40,open_auction56,open_auction8,open_auction54,open_auction14,open_auction9,open_auction59,open_auction55,open_auction69,open_auction18,	null	null	null	null	null	null	null	null	
14054	person5,	Pat Rosis,	mailto:Rosis@lbl.gov,	+0 (723) 19274352,	http://www.lbl.gov/~Rosis,	income:14090,interest:14093,interest:14098,interest:14103,business:14108,	null	20300.49,	category:14095,category:14100,category:14105,	null	No,	null	null	category4,category3,category0,	null	street:14070,city:14073,country:14076,zipcode:14079,	47 Rauhe St,	George,	Brunei Darussalam,	null	6,	null	4188 8377 5465 7596,	
14111	person6,	Mihai Pettis,	mailto:Pettis@monmouth.edu,	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	6964 8239 1804 3291,	
14125	person7,	Haruhisa Schamp,	mailto:Schamp@dec.com,	+31 (699) 3073207,	http://www.dec.com/~Schamp,	income:14164,interest:14167,education:14172,business:14175,	watch:14180,watch:14185,watch:14190,watch:14195,watch:14200,	27747.32,	category:14169,	Other,	No,	null	open_auction:14182,open_auction:14187,open_auction:14192,open_auction:14197,open_auction:14202,	category5,	open_auction17,open_auction3,open_auction70,open_auction72,open_auction29,	street:14141,city:14144,country:14147,province:14150,zipcode:14153,	27 Rajaraman St,	Dubai,	Mozambique,	Oates,	28,	null	6273 8460 4349 1388,	
14205	person8,	Sanzheng Delgrange,	mailto:Delgrange@co.jp,	null	http://www.co.jp/~Delgrange,	income:14224,interest:14227,interest:14232,business:14237,	null	83923.95,	category:14229,category:14234,	null	No,	null	null	category2,category1,	null	null	null	null	null	null	null	null	5438 3666 3926 8891,	
14240	person9,	Mirja Lorho,	mailto:Lorho@sleepycat.com,	+142 (399) 72667533,	http://www.sleepycat.com/~Lorho,	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
14257	person10,	Eiichiro Takano,	mailto:Takano@auth.gr,	null	null	null	watch:14270,watch:14275,	null	null	null	null	null	open_auction:14272,open_auction:14277,	null	open_auction45,open_auction46,	null	null	null	null	null	null	null	null	
14280	person11,	Theo Goel,	mailto:Goel@uni-muenster.de,	null	null	null	watch:14293,watch:14298,watch:14303,	null	null	null	null	null	open_auction:14295,open_auction:14300,open_auction:14305,	null	open_auction0,open_auction77,open_auction15,	null	null	null	null	null	null	null	null	
14308	person12,	Slim Bardell,	mailto:Bardell@unizh.ch,	+142 (675) 54576358,	http://www.unizh.ch/~Bardell,	null	watch:14344,watch:14349,	null	null	null	null	null	open_auction:14346,open_auction:14351,	null	open_auction12,open_auction26,	street:14324,city:14327,country:14330,zipcode:14333,	46 Shigei St,	George,	UnitedStates,	null	7,	null	2530 1329 2880 8788,	
14354	person13,	Pavlin Nishanov,	mailto:Nishanov@ntua.gr,	+0 (864) 65234803,	http://www.ntua.gr/~Nishanov,	null	watch:14393,watch:14398,watch:14403,watch:14408,watch:14413,watch:14418,watch:14423,watch:14428,watch:14433,watch:14438,watch:14443,watch:14448,	null	null	null	null	null	open_auction:14395,open_auction:14400,open_auction:14405,open_auction:14410,open_auction:14415,open_auction:14420,open_auction:14425,open_auction:14430,open_auction:14435,open_auction:14440,open_auction:14445,open_auction:14450,	null	open_auction81,open_auction52,open_auction76,open_auction65,open_auction13,open_auction38,open_auction50,open_auction57,open_auction61,open_auction40,open_auction72,open_auction68,	street:14370,city:14373,country:14376,province:14379,zipcode:14382,	33 Abbey St,	Brunswick,	UnitedStates,	Connecticut,	5,	null	4858 7583 6032 2124,	
14453	person14,	Leonardo Miene,	mailto:Miene@hitachi.com,	null	http://www.hitachi.com/~Miene,	null	null	null	null	null	null	null	null	null	null	street:14466,city:14469,country:14472,province:14475,zipcode:14478,	44 Bax St,	Gunnison,	Sweden,	Conia,	11,	null	null	
14486	person15,	Guihai Nyrup,	mailto:Nyrup@airmail.net,	+199 (424) 15959447,	http://www.airmail.net/~Nyrup,	income:14505,interest:14508,interest:14513,gender:14518,business:14521,age:14524,	watch:14529,watch:14534,	78450.22,	category:14510,category:14515,	null	Yes,	22,	open_auction:14531,open_auction:14536,	category0,category1,	open_auction49,open_auction80,	null	null	null	null	null	null	female,	null	
14539	person16,	Branka Yapp,	mailto:Yapp@compaq.com,	null	null	null	watch:14572,watch:14577,watch:14582,watch:14587,	null	null	null	null	null	open_auction:14574,open_auction:14579,open_auction:14584,open_auction:14589,	null	open_auction30,open_auction29,open_auction59,open_auction60,	street:14552,city:14555,country:14558,province:14561,zipcode:14564,	73 Gryz St,	Jacksonville,	UnitedStates,	Arkansas,	19,	null	9803 6425 5949 2400,	
14592	person17,	Stelios Yglesias,	mailto:Yglesias@sun.com,	null	http://www.sun.com/~Yglesias,	null	null	null	null	null	null	null	null	null	null	street:14605,city:14608,country:14611,zipcode:14614,	31 Cmelik St,	Guaymas,	UnitedStates,	null	11,	null	null	
14620	person18,	Ram Parisi,	mailto:Parisi@ucla.edu,	null	http://www.ucla.edu/~Parisi,	income:14636,education:14639,gender:14642,business:14645,	null	58348.53,	null	Other,	No,	null	null	null	null	null	null	null	null	null	null	male,	null	
